mes,año,num_hurtos
1,2003,1483
1,2004,1041
1,2005,934
1,2006,783
1,2007,802
1,2008,708
1,2009,773
1,2010,742
1,2011,890
1,2012,807
1,2013,865
1,2014,653
1,2015,661
1,2016,641
1,2017,795
1,2018,775
1,2019,880
1,2020,865
1,2021,727
1,2022,917
1,2023,943
1,2024,963
2,2003,1284
2,2004,1033
2,2005,948
2,2006,796
2,2007,715
2,2008,741
2,2009,716
2,2010,653
2,2011,877
2,2012,892
2,2013,827
2,2014,686
2,2015,677
2,2016,595
2,2017,743
2,2018,756
2,2019,860
2,2020,962
2,2021,809
2,2022,868
2,2023,922
2,2024,1042
3,2003,1418
3,2004,1136
3,2005,936
3,2006,757
3,2007,772
3,2008,704
3,2009,784
3,2010,760
3,2011,853
3,2012,910
3,2013,776
3,2014,729
3,2015,672
3,2016,578
3,2017,786
3,2018,772
3,2019,868
3,2020,648
3,2021,793
3,2022,1060
3,2023,1119
3,2024,895
4,2003,1366
4,2004,1036
4,2005,977
4,2006,819
4,2007,656
4,2008,722
4,2009,731
4,2010,722
4,2011,770
4,2012,743
4,2013,834
4,2014,640
4,2015,559
4,2016,674
4,2017,776
4,2018,846
4,2019,858
4,2020,203
4,2021,586
4,2022,890
4,2023,901
4,2024,1007
5,2003,1571
5,2004,1102
5,2005,856
5,2006,764
5,2007,788
5,2008,717
5,2009,727
5,2010,634
5,2011,970
5,2012,795
5,2013,810
5,2014,708
5,2015,603
5,2016,691
5,2017,815
5,2018,816
5,2019,934
5,2020,545
5,2021,795
5,2022,875
5,2023,979
5,2024,974
6,2003,1325
6,2004,1107
6,2005,861
6,2006,826
6,2007,802
6,2008,675
6,2009,545
6,2010,656
6,2011,861
6,2012,766
6,2013,667
6,2014,590
6,2015,603
6,2016,612
6,2017,831
6,2018,808
6,2019,855
6,2020,712
6,2021,987
6,2022,858
6,2023,924
6,2024,994
7,2003,1245
7,2004,1069
7,2005,785
7,2006,808
7,2007,737
7,2008,751
7,2009,587
7,2010,708
7,2011,806
7,2012,818
7,2013,762
7,2014,643
7,2015,659
7,2016,653
7,2017,831
7,2018,889
7,2019,878
7,2020,851
7,2021,951
7,2022,883
7,2023,888
7,2024,916
8,2003,1207
8,2004,1036
8,2005,765
8,2006,818
8,2007,684
8,2008,699
8,2009,677
8,2010,598
8,2011,857
8,2012,834
8,2013,688
8,2014,632
8,2015,690
8,2016,728
8,2017,838
8,2018,900
8,2019,972
8,2020,825
8,2021,970
8,2022,963
8,2023,1006
8,2024,973
9,2003,1222
9,2004,1008
9,2005,725
9,2006,754
9,2007,667
9,2008,667
9,2009,712
9,2010,636
9,2011,877
9,2012,684
9,2013,673
9,2014,601
9,2015,662
9,2016,666
9,2017,814
9,2018,850
9,2019,862
9,2020,962
9,2021,1002
9,2022,911
9,2023,977
9,2024,850
10,2003,1050
10,2004,1047
10,2005,747
10,2006,751
10,2007,630
10,2008,732
10,2009,727
10,2010,659
10,2011,878
10,2012,715
10,2013,750
10,2014,650
10,2015,661
10,2016,757
10,2017,828
10,2018,859
10,2019,819
10,2020,918
10,2021,1024
10,2022,935
10,2023,996
10,2024,930
11,2003,1146
11,2004,960
11,2005,761
11,2006,784
11,2007,633
11,2008,747
11,2009,729
11,2010,677
11,2011,916
11,2012,558
11,2013,679
11,2014,648
11,2015,671
11,2016,759
11,2017,872
11,2018,808
11,2019,872
11,2020,900
11,2021,1005
11,2022,1030
11,2023,1059
11,2024,861
12,2003,1112
12,2004,843
12,2005,667
12,2006,617
12,2007,626
12,2008,640
12,2009,692
12,2010,658
12,2011,726
12,2012,703
12,2013,611
12,2014,575
12,2015,606
12,2016,696
12,2017,821
12,2018,771
12,2019,841
12,2020,884
12,2021,925
12,2022,963
12,2023,878
12,2024,604
